Class,Subclass,SubclassCategory,Commands,Response,Label
Bike,Edge,Battery/Fuel,What is my current battery level?,Updating please wait,1
Bike,Edge,Battery/Fuel,How much range do I have left on my battery?,Updating please wait,1
Bike,Edge,Battery/Fuel,When was the last time my battery was charged?,Updating please wait,1
Bike,Edge,Battery/Fuel,How long until my battery is fully charged?,Updating please wait,1
Bike,Edge,Battery/Fuel,How long should I charge my vehicle for a sufficient range?,Updating please wait,1
Bike,Edge,Battery/Fuel,What's the charging status right now?,Updating please wait,1
Bike,Edge,Battery/Fuel,Can you provide a breakdown of energy consumption for my recent rides?,Updating please wait,1
Bike,Edge,Battery/Fuel,Can I receive notifications when my battery needs to be replaced or serviced?,Updating please wait,1
Bike,Edge,Battery/Fuel,Is there an option to track the historical performance of my battery over time?,Updating please wait,1
Bike,Edge,Battery/Fuel,Can I set reminders for regular battery health checkups or diagnostics?,Updating please wait,1
Bike,Edge,Battery/Fuel,Can I access detailed statistics on battery usage and efficiency?,Updating please wait,1
Bike,Edge,Battery/Fuel,Is there a feature to adjust power settings to conserve battery on long rides?,Updating please wait,1
Bike,Edge,Battery/Fuel,How can I assess the impact of my riding style on battery longevity?,Updating please wait,1
Bike,Edge,Battery/Fuel,Can I view a forecast of my battery's expected performance for upcoming rides?,Updating please wait,1
Bike,Edge,Battery/Fuel,How much battery life do I have left?,You currently have [percentage]% battery life remaining.,1
Bike,Edge,Battery/Fuel,Can you estimate my remaining range?,Your estimated remaining range is [range] miles/kilometers.,1
Bike,Edge,Battery/Fuel,When was my battery last charged?,Your battery was last charged on [date].,1
Bike,Edge,Battery/Fuel,How long will it take to fully charge my battery?,It will take approximately [time] to fully charge your battery.,1
Bike,Edge,Battery/Fuel,Is it safe to start a trip with my current battery level?,"Yes, it's safe to start your trip with your current battery level.",1
Bike,Edge,Battery/Fuel,What's the average range I get on a full charge?,The average range on a full charge is [range] miles/kilometers.,1
Bike,Edge,Battery/Fuel,How long should I charge my vehicle for sufficient range?,Charge your vehicle for approximately [time] for sufficient range.,1
Bike,Edge,Battery/Fuel,What's the current charging status?,The current charging status is [status].,1
Bike,Edge,Battery/Fuel,What's the optimal battery level for long-term health?,The optimal battery level for long-term health is between [range]% and [range]%.,1
Bike,Edge,Battery/Fuel,How does my battery level impact overall vehicle performance?,Your battery level affects overall vehicle performance; higher levels provide better performance.,1
Bike,Edge,Battery/Fuel,What's the expected lifespan of my vehicle's battery?,The expected lifespan of your vehicle's battery is approximately [years].,1
Bike,Edge,Battery/Fuel,How do I interpret the battery health indicator?,The battery health indicator shows the current health of your battery; [explanation].,1
Bike,Edge,Battery/Fuel,Can you recommend energy-efficient driving tips?,"Yes, I can recommend energy-efficient driving tips; [tips].",1
Bike,Edge,Battery/Fuel,Can I get a detailed report on my battery usage history?,"Yes, you can get a detailed report on your battery usage history.",1
Bike,Edge,Battery/Fuel,Can you provide an estimate of how far I can travel with my current battery level?,"Sure, I'll estimate the distance you can travel based on your current battery level.",1
Bike,Edge,Battery/Fuel,How does my battery's health impact my bike's performance?,Your battery's health affects your bike's performance; I'll explain how.,1
Bike,Edge,Battery/Fuel,Are there any recommended maintenance tasks for preserving battery life?,There are maintenance tasks to preserve battery life; I'll list them for you.,1
